student,level
6947380,C1
6947879,C1
6948034,B2
6948166,B2
6948182,B2
6948190,C1
6949235,B2
6949243,B2
6949251,B1
6950268,C1
6950845,B2
6951353,B2
6951817,B2
6951841,B1
6953100,B2
6954441,C1
6954603,B2
6954956,B2
6955138,B2
6956495,B2
6956576,B2
6959168,C1
6959486,B2
6960115,B2
6960352,B2
6960417,C1
6960662,C1
6960840,C1
6961219,B1
6961715,B2
6961731,B1
6962371,A2
6962479,B2
6962495,B2
6963572,B1
6963580,A2
6963661,B1
6963726,B2
6964692,B1
6964897,B2
6965486,B1
6965710,B1
6966016,B1
6967462,B2
6967594,B1
6968744,B2
6969007,B2
6969066,B2
6969619,B1
6969708,B1
6970250,B1
6970404,B2
6970552,B1
6971281,B1
6971583,B1
6972520,B1
6972555,B2
6972601,B1
6972997,B2
6979789,B1
6980019,B1
6981260,B2
2130212,B2
XXX2132,B1
6163169,B1
XX020391,B2
XX1509769,B1
XX160984,B2
XX30041979,B2
XX01011992,A2
XX0301935,B2
XX11011,B1
XX12723946,B2
XX160922,B2
XX20071993,B1
XX21101992,B2
XX4917668145463,A2
